GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElearningProject,omada5.ElearningProject.resourse,StudentInfo,58,69,4,0,13,24,4,13,2,13
ElearningProject,omada5.ElearningProject.resourse,ProjectResource,37,38,0,0,12,9,2,2,2,2
ElearningProject,omada5.ElearningProject.resourse,GradeInfo,52,112,2,6,14,34,5,16,3,14
ElearningProject,omada5.ElearningProject.resourse,CourseResourse,20,545,4,10,6,149,4,23,0,20
ElearningProject,omada5.ElearningProject.resourse,MaterialInfo,16,104,1,5,3,31,2,14,1,12
ElearningProject,omada5.ElearningProject.resourse,ProjectInfo,16,104,1,5,3,31,2,14,1,12
ElearningProject,omada5.ElearningProject.resourse,GradeResource,15,132,1,1,8,36,1,4,0,4
ElearningProject,omada5.ElearningProject.resourse,TeacherInfo,5,88,0,2,1,28,1,14,1,13
ElearningProject,omada5.ElearningProject.resourse,StudentResource,18,22,0,0,6,7,1,2,1,2
ElearningProject,omada5.ElearningProject.resourse,CourseInfo,30,197,2,6,10,59,4,22,2,20
ElearningProject,omada5.ElearningProject.resourse,AbstractResource,0,5,0,0,0,2,0,2,0,2
ElearningProject,omada5.ElearningProject.resourse,CertificateInfo,26,107,3,5,8,30,5,12,2,11
ElearningProject,omada5.ElearningProject.resourse,CertificateResource,6,116,1,1,2,30,1,5,0,5
ElearningProject,omada5.ElearningProject.resourse,DebugExceptionMapper,8,3,0,0,2,1,1,1,1,1
ElearningProject,omada5.ElearningProject.resourse,TeacherResource,0,21,0,0,0,7,0,2,0,2
ElearningProject,omada5.ElearningProject.resourse,MaterialResource,0,38,0,0,0,9,0,2,0,2
ElearningProject,omada5.ElearningProject.resourse,ElearningUri,40,243,0,0,5,17,5,17,5,17
ElearningProject,omada5.ElearningProject.service,ProjectService,50,309,22,24,22,82,22,13,0,12
ElearningProject,omada5.ElearningProject.service,MaterialService,43,376,23,27,19,96,23,13,0,11
ElearningProject,omada5.ElearningProject.service,PersonService,16,157,7,13,8,42,7,9,0,6
ElearningProject,omada5.ElearningProject.service,UniAdminService,33,171,13,7,13,45,11,8,1,8
ElearningProject,omada5.ElearningProject.service,StudentService,43,296,18,24,18,82,15,15,0,9
ElearningProject,omada5.ElearningProject.service,CertificationService,20,157,5,7,10,40,5,6,0,5
ElearningProject,omada5.ElearningProject.service,TeacherService,29,197,15,15,11,55,12,10,0,7
ElearningProject,omada5.ElearningProject.service,UniversityService,29,195,7,9,16,52,8,8,1,7
ElearningProject,omada5.ElearningProject.service,GradeService,44,188,5,7,17,56,6,9,1,8
ElearningProject,omada5.ElearningProject.service,CourseService,30,332,15,17,16,93,15,14,0,13
ElearningProject,omada5.ElearningProject.persistence,Initializer,0,589,0,0,0,175,0,3,0,3
ElearningProject,omada5.ElearningProject.persistence,JPAUtil,17,32,0,6,8,10,2,7,2,4
ElearningProject,omada5.ElearningProject.domain,Person,0,34,0,0,0,14,0,10,0,10
ElearningProject,omada5.ElearningProject.domain,Grade,0,34,0,0,0,14,0,10,0,10
ElearningProject,omada5.ElearningProject.domain,Project,4,36,0,0,2,15,1,9,1,9
ElearningProject,omada5.ElearningProject.domain,FileController,3,22,0,0,2,7,0,2,0,2
ElearningProject,omada5.ElearningProject.domain,Material,4,43,0,0,2,18,1,11,1,11
ElearningProject,omada5.ElearningProject.domain,Teacher,10,39,1,1,4,12,3,4,2,4
ElearningProject,omada5.ElearningProject.domain,Certification,0,20,0,0,0,8,0,6,0,6
ElearningProject,omada5.ElearningProject.domain,Student,12,75,2,2,4,21,5,7,3,7
ElearningProject,omada5.ElearningProject.domain,Course,22,146,2,2,10,46,8,22,6,22
ElearningProject,omada5.ElearningProject.domain,University,15,48,1,1,5,17,5,8,4,8
ElearningProject,omada5.ElearningProject.domain,Uni_Admin,0,18,0,0,0,7,0,2,0,2
